POLLING STATION LOCATION,PNP Phillips Peter D.,JLP Prince Beverley ann marie,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
58 58B PRICKLEY POLE PRIMARY SCHOOL,12,73,,,,0,85,36.80%,231,ST. ANN SOUTH EASTERN (23),BENSONTON (2),
59 59 ADASSA NEMBHARD'S PREMISES,15,79,,,,1,95,35.85%,265,ST. ANN SOUTH EASTERN (23),BENSONTON (2),
60 60 DELORIS FLYNN'S PREMISES,20,75,,,,2,97,51.05%,190,ST. ANN SOUTH EASTERN (23),BENSONTON (2),
61 61 ALDERTON PRIMARY SCHOOL,34,62,,,,2,98,41.88%,234,ST. ANN SOUTH EASTERN (23),BENSONTON (2),
62 62 COULTART GROVE BAPTIST CHURCH,16,69,,,,0,85,50.60%,168,ST. ANN SOUTH EASTERN (23),BENSONTON (2),
63 63 COULTART GROVE BAPTIST CHURCH,51,126,,,,1,178,44.72%,398,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
64 64 CHURCH OF GOD OF PROPHECY,28,58,,,,0,86,43.88%,196,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
65 65 IRONS MOUNTAIN PRIMARY SCHOOL,15,84,,,,0,99,38.52%,257,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
66 66A CLAREMONT ALL AGE SCHOOL,24,72,,,,1,97,43.69%,222,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
66 66B CLAREMONT ALL AGE SCHOOL,36,68,,,,0,104,46.64%,223,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
67 67 CLAREMONT ALL AGE SCHOOL,40,94,,,,2,136,38.53%,353,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
68 68A CLAREMONT ANGLICAN CHURCH,24,72,,,,1,97,43.11%,225,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
68 68B CLAREMONT ANGLICAN CHURCH,23,74,,,,0,97,42.92%,226,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
EPM 69 69 FERNCOURT HIGH SCHOOL,26,80,,,,1,107,41.00%,261,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
70 70 BEECHAMVILLE METHODIST CHURCH HALL,19,42,,,,1,62,42.76%,145,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
71 71 GOLDEN GROVE PRIMARY SCHOOL,17,24,,,,0,41,38.32%,107,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
72 72 GOLDEN GROVE PRIMARY SCHOOL,58,84,,,,2,144,43.64%,330,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
73 73 GOLDEN GROVE PRIMARY SCHOOL,40,39,,,,1,80,42.78%,187,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
74 74 STEERFIELD COMMUNITY CENTRE,32,83,,,,0,115,47.72%,241,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
75 75A GOLDEN GROVE PRIMARY SCHOOL,54,35,,,,0,89,41.20%,216,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
75 75B GOLDEN GROVE PRIMARY SCHOOL,63,49,,,,1,113,52.31%,216,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
76 76 CLAREMONT ANGLICAN CHURCH,21,63,,,,0,84,37.00%,227,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
EPM 77 77 CLAREMONT ANGLICAN CHURCH,164,351,,,,5,520,202.33%,257,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
78 78 CLAREMONT ALL AGE SCHOOL,25,88,,,,0,113,40.79%,277,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
79 79 COULTART GROVE BAPTIST CHURCH,31,73,,,,1,105,40.54%,259,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
80 80 BRITTONVILLE ALL AGE SCHOOL,10,43,,,,1,54,38.57%,140,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
81 81 EBENEZER BASIC SCHOOL,25,49,,,,1,75,38.66%,194,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
82 82 GOLDEN GROVE PRIMARY SCHOOL,68,80,,,,1,149,44.21%,337,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
83 83 GOLDEN GROVE PRIMARY SCHOOL,21,28,,,,2,51,41.13%,124,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
84 84 ORANGE PARK COMMUNITY CENTRE,41,91,,,,3,135,46.23%,292,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
85 85 GOLDEN GROVE PRIMARY SCHOOL,66,88,,,,0,154,50.33%,306,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
86 86 GOLDEN GROVE PRIMARY SCHOOL,28,47,,,,1,76,37.07%,205,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
87 87 STEERFIELD COMMUNITY CENTRE,12,26,,,,0,38,44.71%,85,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
88 88 FERNCOURT HIGH SCHOOL,21,30,,,,1,52,33.77%,154,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
89 89 GOLDEN SPRING METHODIST CHURCH HALL,33,108,,,,2,143,46.89%,305,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
90 90 TREVOR FULTON'S PREMISES,28,42,,,,0,70,38.46%,182,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
91 91 GOLDEN SPRING METHODIST CHURCH HALL,25,32,,,,3,60,41.96%,143,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
92 92 NEW TESTAMENT CHURCH OF GOD,57,91,,,,0,148,45.40%,326,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
93 93 EBENEZER BASIC SCHOOL,12,34,,,,1,47,43.52%,108,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
94 94 LIME HALL PRIMARY SCHOOL,60,72,,,,0,132,42.17%,313,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
95 95 LIME HALL PRIMARY SCHOOL,63,67,,,,2,132,48.35%,273,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
96 96 HIGGIN TOWN BASIC SCHOOL,46,83,,,,0,129,46.74%,276,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
97 97 HIGGIN TOWN BASIC SCHOOL,34,84,,,,1,119,33.52%,355,ST. ANN SOUTH EASTERN (23),CLAREMONT (3),
98 98 PARRY TOWN PRIMARY SCHOOL,61,94,,,,1,156,40.73%,383,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
99 99A PARRY TOWN PRIMARY SCHOOL,20,96,,,,0,116,54.21%,214,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
99 99B PARRY TOWN PRIMARY SCHOOL,21,89,,,,0,110,51.40%,214,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
100 100 PARRY TOWN PRIMARY SCHOOL,51,112,,,,3,166,45.11%,368,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
101 101 BLOOD BOUGHT CHURCH OF GOD,9,54,,,,0,63,56.25%,112,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
102 102 BEECHER TOWN PRIMARY SCHOOL,32,116,,,,3,151,44.81%,337,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
103 103 BREADNUT HILL PRIMARY SCHOOL,103,42,,,,0,145,39.19%,370,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
104 104 BREADNUT HILL PRIMARY SCHOOL,56,35,,,,1,92,39.83%,231,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
105 105 MILE END COMMUNITY CENTRE,92,55,,,,2,149,48.69%,306,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
106 106 MILE END COMMUNITY CENTRE,72,24,,,,2,98,41.70%,235,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
107 107 BREADNUT HILL PRIMARY SCHOOL,101,55,,,,2,158,46.88%,337,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
108 108 BREADNUT HILL PRIMARY SCHOOL,69,34,,,,1,104,42.80%,243,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
109 109 BEECHER TOWN PRIMARY SCHOOL,23,75,,,,0,98,45.16%,217,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
110 110A BREADNUT HILL PRIMARY SCHOOL,90,23,,,,3,116,46.96%,247,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
110 110B BREADNUT HILL PRIMARY SCHOOL,69,22,,,,3,94,37.90%,248,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
111 111 BEECHER TOWN PRIMARY SCHOOL,19,49,,,,1,69,37.91%,182,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
112 112 EPWORTH PRIMARY SCHOOL,54,20,,,,0,74,37.19%,199,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
113 113 PARRY TOWN PRIMARY SCHOOL,52,127,,,,5,184,45.21%,407,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
114 114 SALVATION ARMY CHURCH,33,15,,,,0,48,37.21%,129,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
115 115 SALMON MEMORIAL BASIC SCH.,89,44,,,,3,136,43.45%,313,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
116 116A SALMON MEMORIAL BASIC SCH.,39,74,,,,4,117,41.05%,285,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
116 116B SALMON MEMORIAL BASIC SCH.,42,51,,,,0,93,32.63%,285,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
117 117 MILE END COMMUNITY CENTRE,70,72,,,,1,143,39.94%,358,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
118 118 MILE END COMMUNITY CENTRE,91,85,,,,1,177,47.33%,374,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
119 119 MILE END COMMUNITY CENTRE,47,68,,,,0,115,43.23%,266,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
120 120 MILE END COMMUNITY CENTRE,67,82,,,,0,149,49.83%,299,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
121 121 ORANGE HALL GOSPEL HALL,13,20,,,,0,33,45.83%,72,ST. ANN SOUTH EASTERN (23),BEECHER TOWN (4),
,,,,,,,,,,,,
POLLING STATION LOCATION,PNP Gilmore Desmond D.,JLP Robinson Shahine Elizabeth,,,,BALLOTS REJECTED,Total Votes (including rejected ballots),PERCENT (%) VOTES,ELECTORS ON OFFICIAL VOTERS LIST,Constituency ,Electoral Division,
1 1A EXCHANGE ALL AGE SCHOOL,24,71,,,,5,100,42.37%,236,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
1 1B EXCHANGE ALL AGE SCHOOL,32,68,,,,0,100,42.19%,237,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
2 2 EXCHANGE ALL AGE SCHOOL,53,98,,,,2,153,36.87%,415,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
3 3A EXCHANGE ALL AGE SCHOOL,23,82,,,,1,106,50.24%,211,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
3 3B EXCHANGE ALL AGE SCHOOL,24,86,,,,0,110,52.13%,211,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
4 4 EXCHANGE ALL AGE SCHOOL,32,100,,,,1,133,38.33%,347,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
5 5 EXCHANGE ALL AGE SCHOOL,61,116,,,,1,178,47.47%,375,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
6 6 EXCHANGE ALL AGE SCHOOL,55,111,,,,0,166,47.84%,347,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
7 7 EXCHANGE ALL AGE SCHOOL,59,81,,,,1,141,39.50%,357,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
8 8 ELTHAM COMMUNITY CENTRE,62,89,,,,0,151,40.48%,373,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
9 9 ELTHAM COMMUNITY CENTRE,78,59,,,,1,138,44.37%,311,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
10 10 ELTHAM COMMUNITY CENTRE,35,34,,,,1,70,39.33%,178,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
11 11 LESTER MARSH PAVILLION,48,120,,,,1,169,41.42%,408,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
12 12 LESTER MARSH PAVILLION,27,120,,,,3,150,40.65%,369,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
13 13 LESTER MARSH PAVILLION,15,32,,,,0,47,37.60%,125,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
14 14 LESTER MARSH PAVILLION,42,119,,,,2,163,43.70%,373,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
15 15 BURIAL SCHEME HALL,35,53,,,,1,89,40.27%,221,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
16 16 BURIAL SCHEME HALL,41,91,,,,2,134,53.39%,251,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
17 17 BURIAL SCHEME HALL,72,129,,,,3,204,52.44%,389,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
18 18A GREAT POND BASIC SCHOOL,29,94,,,,0,123,47.13%,261,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
18 18B GREAT POND BASIC SCHOOL,21,95,,,,1,117,44.66%,262,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
19 19 GREAT POND BASIC SCHOOL,48,85,,,,2,135,39.47%,342,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
20 20 BREADNUT HILL BASIC SCHOOL,55,127,,,,3,185,46.72%,396,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
21 21A EXCHANGE ALL AGE SCHOOL,26,73,,,,1,100,45.66%,219,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
21 21B EXCHANGE ALL AGE SCHOOL,19,84,,,,0,103,46.82%,220,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
22 22A EXCHANGE ALL AGE SCHOOL,24,90,,,,0,114,45.97%,248,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
22 22B EXCHANGE ALL AGE SCHOOL,25,94,,,,1,120,48.39%,248,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
23 23 EXCHANGE ALL AGE SCHOOL,50,100,,,,1,151,44.02%,343,ST. ANN NORTH EASTERN (24),EXCHANGE (5),
24 24 OCHO RIOS HIGH SCHOOL,52,74,,,,1,127,38.25%,332,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
25 25 OCHO RIOS PRIMARY SCHOOL,32,74,,,,4,110,37.93%,290,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
26 26 OCHO RIOS PRIMARY SCHOOL,53,126,,,,0,179,42.62%,420,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
27 27 OCHO RIOS HIGH SCHOOL,39,67,,,,0,106,47.53%,223,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
28 28 OCHO RIOS HIGH SCHOOL,39,81,,,,3,123,36.94%,333,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
29 29 OCHO RIOS HIGH SCHOOL,42,83,,,,1,126,44.06%,286,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
30 30 OCHO RIOS HIGH SCHOOL,29,69,,,,4,102,45.74%,223,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
31 31A OCHO RIOS HIGH SCHOOL,44,73,,,,2,119,45.25%,263,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
31 31B OCHO RIOS HIGH SCHOOL,71,57,,,,2,130,49.24%,264,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
32 32 ANGLICAN CHURCH HALL,35,48,,,,1,84,40.58%,207,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
33 33 ANGLICAN CHURCH HALL,34,53,,,,4,91,35.00%,260,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
34 34 ANGLICAN CHURCH HALL,71,90,,,,2,163,42.12%,387,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
35 35 ANGLICAN CHURCH HALL,42,57,,,,1,100,40.16%,249,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
36 36A ANGLICAN CHURCH HALL (TENT),61,78,,,,1,140,45.75%,306,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
36 36B ANGLICAN CHURCH HALL (TENT),36,91,,,,1,128,41.69%,307,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
37 37A OCHO RIOS PRIMARY SCHOOL,34,79,,,,2,115,45.63%,252,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
37 37B OCHO RIOS PRIMARY SCHOOL,36,82,,,,0,118,46.83%,252,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
38 38 OCHO RIOS PRIMARY SCHOOL,58,83,,,,2,143,41.94%,341,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
39 39 OCHO RIOS PRIMARY SCHOOL,48,108,,,,4,160,42.78%,374,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
40 40A OCHO RIOS PRIMARY SCHOOL,49,55,,,,0,104,43.33%,240,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
40 40B OCHO RIOS PRIMARY SCHOOL,55,46,,,,1,102,42.50%,240,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
41 41 OCHO RIOS PRIMARY SCHOOL,95,43,,,,4,142,47.81%,297,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
42 42A PIMENTO WALK BASIC SCHOOL,83,35,,,,1,119,52.42%,227,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
42 42B PIMENTO WALK BASIC SCHOOL,83,39,,,,1,123,53.95%,228,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
43 43 PIMENTO WALK BASIC SCHOOL,112,65,,,,0,177,54.13%,327,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
44 44 PIMENTO WALK BASIC SCHOOL,96,39,,,,4,139,54.51%,255,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
45 45A OCHO RIOS PRIMARY SCHOOL,33,87,,,,3,123,46.95%,262,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
45 45B OCHO RIOS PRIMARY SCHOOL,37,77,,,,2,116,44.11%,263,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
46 46 OCHO RIOS PRIMARY SCHOOL,64,95,,,,5,164,49.55%,331,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
47 47 OCHO RIOS PRIMARY SCHOOL,64,96,,,,5,165,50.93%,324,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
48 48 OCHO RIOS PRIMARY SCHOOL,13,12,,,,1,26,40.63%,64,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
49 49A OCHO RIOS PRIMARY SCHOOL,66,102,,,,2,170,41.26%,412,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
49 49B OCHO RIOS PRIMARY SCHOOL,64,109,,,,4,177,42.96%,412,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
50 50 PIMENTO WALK BASIC SCHOOL,80,59,,,,0,139,48.26%,288,ST. ANN NORTH EASTERN (24),OCHO RIOS (6),
51 51 STEER TOWN BASIC SCHOOL,107,55,,,,4,166,49.26%,337,ST. ANN NORTH EASTERN (24),LIME HALL (7),
52 52 STEER  PRIMARY AND JH SCH,83,81,,,,7,171,46.85%,365,ST. ANN NORTH EASTERN (24),LIME HALL (7),
53 53 STEER  PRIMARY AND JH SCH,117,64,,,,3,184,50.00%,368,ST. ANN NORTH EASTERN (24),LIME HALL (7),
54 54 STEER  PRIMARY AND JH SCH,102,88,,,,7,197,53.39%,369,ST. ANN NORTH EASTERN (24),LIME HALL (7),
55 55A STEER  PRIMARY AND JH SCH,42,62,,,,3,107,47.98%,223,ST. ANN NORTH EASTERN (24),LIME HALL (7),
55 55B STEER  PRIMARY AND JH SCH,60,51,,,,3,114,50.89%,224,ST. ANN NORTH EASTERN (24),LIME HALL (7),
56 56A STEER  PRIMARY AND JH SCH,60,64,,,,3,127,57.47%,221,ST. ANN NORTH EASTERN (24),LIME HALL (7),
56 56B STEER  PRIMARY AND JH SCH,50,59,,,,2,111,50.00%,222,ST. ANN NORTH EASTERN (24),LIME HALL (7),
57 57 STEER  PRIMARY AND JH SCH,91,90,,,,4,185,50.68%,365,ST. ANN NORTH EASTERN (24),LIME HALL (7),
58 58 STEER  PRIMARY AND JH SCH,80,69,,,,5,154,46.81%,329,ST. ANN NORTH EASTERN (24),LIME HALL (7),
59 59A STEER  PRIMARY AND JH SCH,83,51,,,,3,137,54.37%,252,ST. ANN NORTH EASTERN (24),LIME HALL (7),
59 59B STEER  PRIMARY AND JH SCH,66,64,,,,0,130,51.38%,253,ST. ANN NORTH EASTERN (24),LIME HALL (7),
60 60A STEER  PRIMARY AND JH SCH,54,56,,,,1,111,48.47%,229,ST. ANN NORTH EASTERN (24),LIME HALL (7),
60 60B STEER  PRIMARY AND JH SCH,37,67,,,,2,106,46.29%,229,ST. ANN NORTH EASTERN (24),LIME HALL (7),
61 61 STEER  PRIMARY AND JH SCH,84,102,,,,4,190,54.91%,346,ST. ANN NORTH EASTERN (24),LIME HALL (7),
62 62A STEER  PRIMARY AND JH SCH,35,95,,,,2,132,59.73%,221,ST. ANN NORTH EASTERN (24),LIME HALL (7),
62 62B STEER  PRIMARY AND JH SCH,40,93,,,,1,134,60.36%,222,ST. ANN NORTH EASTERN (24),LIME HALL (7),
63 63A LAURISTON CHURCH,30,101,,,,3,134,56.78%,236,ST. ANN NORTH EASTERN (24),LIME HALL (7),
63 63B LAURISTON CHURCH,32,101,,,,0,133,56.36%,236,ST. ANN NORTH EASTERN (24),LIME HALL (7),
64 64A CHALKY HILL PRIMARY SCHOOL,54,103,,,,3,160,63.24%,253,ST. ANN NORTH EASTERN (24),LIME HALL (7),
64 64B CHALKY HILL PRIMARY SCHOOL,52,83,,,,3,138,54.55%,253,ST. ANN NORTH EASTERN (24),LIME HALL (7),
65 65A LIME HALL COMMUNITY CENTRE,87,45,,,,1,133,55.65%,239,ST. ANN NORTH EASTERN (24),LIME HALL (7),
65 65B LIME HALL COMMUNITY CENTRE,66,56,,,,2,124,51.67%,240,ST. ANN NORTH EASTERN (24),LIME HALL (7),
66 66 LIME HALL COMMUNITY CENTRE,118,66,,,,2,186,48.95%,380,ST. ANN NORTH EASTERN (24),LIME HALL (7),
67 67A LIME HALL COMMUNITY CENTRE,108,45,,,,2,155,52.19%,297,ST. ANN NORTH EASTERN (24),LIME HALL (7),
67 67B LIME HALL COMMUNITY CENTRE,106,38,,,,3,147,49.49%,297,ST. ANN NORTH EASTERN (24),LIME HALL (7),
68 68 LIME HALL COMMUNITY CENTRE,54,14,,,,0,68,47.22%,144,ST. ANN NORTH EASTERN (24),LIME HALL (7),
69 69 LIME HALL COMMUNITY CENTRE,75,45,,,,2,122,48.22%,253,ST. ANN NORTH EASTERN (24),LIME HALL (7),
70 70 DRAX HALL SEVENTH DAY ADVENTIST CHURCH,52,83,,,,1,136,46.42%,293,ST. ANN NORTH EASTERN (24),LIME HALL (7),
71 71 DRAX HALL SEVENTH DAY ADVENTIST CHURCH,44,55,,,,0,99,43.61%,227,ST. ANN NORTH EASTERN (24),LIME HALL (7),
72 72A DRAX HALL SEVENTH DAY ADVENTIST CHURCH,22,56,,,,1,79,36.92%,214,ST. ANN NORTH EASTERN (24),LIME HALL (7),
72 72B DRAX HALL SEVENTH DAY ADVENTIST CHURCH,28,62,,,,1,91,42.52%,214,ST. ANN NORTH EASTERN (24),LIME HALL (7),
73 73 DRAX HALL SEVENTH DAY ADVENTIST CHURCH,56,121,,,,0,177,47.84%,370,ST. ANN NORTH EASTERN (24),LIME HALL (7),
74 74 DRAX HALL POLO CLUB,72,107,,,,1,180,45.23%,398,ST. ANN NORTH EASTERN (24),LIME HALL (7),
75 75 LIME HALL COMMUNITY CENTRE,95,90,,,,5,190,49.61%,383,ST. ANN NORTH EASTERN (24),LIME HALL (7),
76 76 DRAX HALL POLO CLUB,93,61,,,,2,156,40.52%,385,ST. ANN NORTH EASTERN (24),LIME HALL (7),
77 77 DRAX HALL POLO CLUB,68,82,,,,5,155,45.45%,341,ST. ANN NORTH EASTERN (24),LIME HALL (7),
78 78 LAURISTON CHURCH,42,108,,,,1,151,61.89%,244,ST. ANN NORTH EASTERN (24),LIME HALL (7),
79 79 ST. ANNS BAY PRIMARY SCHOOL,53,100,,,,1,154,49.04%,314,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
80 80A BETHEL BASIC SCHOOL (TENT),68,67,,,,1,136,59.39%,229,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
80 80B BETHEL BASIC SCHOOL (TENT),69,51,,,,4,124,54.15%,229,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
81 81 BETHEL BASIC SCHOOL,110,50,,,,3,163,66.53%,245,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
82 82 BETHEL BASIC SCHOOL,132,59,,,,2,193,57.96%,333,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
83 83 BETHEL BASIC SCHOOL,110,47,,,,5,162,55.67%,291,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
84 84A BETHEL BASIC SCHOOL,69,49,,,,1,119,53.60%,222,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
84 84B BETHEL BASIC SCHOOL,67,48,,,,0,115,51.57%,223,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
85 85 ST. ANNS BAY PRIMARY SCHOOL,63,69,,,,0,132,51.16%,258,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
86 86A ST. ANNS BAY PRIMARY SCHOOL,68,102,,,,1,171,55.52%,308,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
86 86B ST. ANNS BAY PRIMARY SCHOOL,78,92,,,,3,173,55.99%,309,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
87 87 ST ANNS BAY PRIMARY SCHOOL,51,53,,,,1,105,44.49%,236,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
88 88 ST ANNS BAY PRIMARY SCHOOL,78,81,,,,2,161,49.39%,326,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
89 89 MARCUS GARVEY TECH HIGH SCH.,48,46,,,,2,96,44.24%,217,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
90 90 MARCUS GARVEY TECH HIGH SCH.,32,57,,,,3,92,52.27%,176,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
EPM 91 91 MARCUS GARVEY TECH HIGH SCH.,78,153,,,,1,232,193.33%,120,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
92 92 MARCUS GARVEY TECH HIGH SCH.,75,72,,,,1,148,59.68%,248,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
93 93 ST ANNS BAY PRIMARY SCHOOL,43,73,,,,0,116,46.96%,247,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
EPM 94 94 ST ANNS BAY PRIMARY SCHOOL,95,66,,,,4,165,95.38%,173,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
95 95 ST ANNS BAY PRIMARY SCHOOL,47,84,,,,0,131,43.38%,302,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
96 96 ST ANNS BAY PRIMARY SCHOOL,58,129,,,,2,189,54.00%,350,ST. ANN NORTH EASTERN (24),ST. ANN'S BAY (8),
