POLLING STATION LOCATION,PNP Brown Burke Angela,JLP Hyde Victor Anthony,,,,Ballots Rejected,Total Votes (including rejected ballots),PERCENT (%) Votes,Electors On Official Voters List,CONSTITUENCY: ,ELECTORAL DIVISION: ,
78 78 IRIS GELLY PRIMARY SCHOOL,1,89,,,,2,92,31.19%,295,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
79 79 TORRINGTON UNITED CHURCH,1,28,,,,3,32,9.85%,325,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
80 80 TORRINGTON UNITED CHURCH,1,35,,,,0,36,13.28%,271,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
81 81 ST. LUKES CHURCH,3,40,,,,0,43,17.99%,239,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
82 82A ST. LUKES CHURCH,1,32,,,,0,33,15.87%,208,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
82 82B ST. LUKES CHURCH,1,24,,,,0,25,12.02%,208,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
83 83 ENID ANGLIN COMMUNITY CENTRE,0,75,,,,2,77,31.43%,245,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
84 84 ENID ANGLIN COMMUNITY CENTRE,0,93,,,,1,94,32.41%,290,ST. ANDREW SOUTHERN (9),ADMIRAL TOWN (24),
,,,,,,,,,,,,
,,,,,,,,,,,,
POLLING STATION LOCATION,PNP Alexis Shane Anton,JLP Dunn Norman Alexander,,,,Ballots Rejected,Total Votes (including rejected ballots),PERCENT (%) Votes,Electors On Official Voters List,CONSTITUENCY: ,ELECTORAL DIVISION: ,
1 1 LEWISBURGH SEVENTH DAY ADVENTIST,27,60,,,,0,87,65.91%,132,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
2 2 BRAINERD BASIC SCHOOL,28,55,,,,0,83,54.25%,153,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
3 3 ZEPHENIAH WHITFIELD'S PREMISES,42,79,,,,1,122,71.76%,170,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
4 4 LEWISBURGH ALL AGE SCHOOL,23,27,,,,0,50,71.43%,70,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
5 5 RICHMOND GOSPEL HALL BASIC SCHOOL,177,116,,,,2,295,67.51%,437,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
6 6 RICHMOND UNITED CHURCH,97,79,,,,0,176,57.70%,305,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
7 7 RICHMOND UNITED CHURCH,82,104,,,,6,192,67.37%,285,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
8 8 RICHMOND COURT HOUSE,54,64,,,,1,119,60.10%,198,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
9 9 BETHEL UNITED CHURCH,131,67,,,,0,198,55.46%,357,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
10 10 ELLIOT ALL AGE SCHOOL,100,126,,,,0,226,55.26%,409,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
11 11 EBENEZER GOSPEL HALL CHURCH,56,93,,,,0,149,67.73%,220,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
12 12 VOILET GUTZMORE'S PREMISES,43,34,,,,0,77,71.30%,108,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
13 13 RICHMOND ROAD PRIMARY SCHOOL,27,42,,,,1,70,62.50%,112,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
14 14 LEWISBURGH ALL AGE SCHOOL,43,54,,,,1,98,57.99%,169,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
15 15 PLATFIELD BIBLE TRUTH CHURCH OF GOD,41,69,,,,0,110,60.44%,182,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
16 16 ZEPHENIAH WHITFIELD'S PREMISES,52,66,,,,1,119,56.13%,212,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
17 17 LUCKY HILL BASIC SCHOOL,5,52,,,,0,57,60.64%,94,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
18 18 ABRAHAM ALLEN'S PREMISES,29,85,,,,0,114,64.77%,176,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
19 19 FREE TOWN BIBLE TRUTH CHURCH OF GOD,38,90,,,,0,128,61.24%,209,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
20 20 PAUL BEVERLEY'S PREMISES,70,117,,,,1,188,60.45%,311,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
21 21 PAUL BEVERLEY'S PREMISES,69,57,,,,0,126,52.28%,241,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
22 22 PLATFIELD BIBLE TRUTH CHURCH OF GOD,40,44,,,,0,84,68.85%,122,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
23 23 RICHMOND ROAD PRIMARY SCHOOL,62,105,,,,0,167,65.49%,255,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
24 24 MOUNT REGALE UNITED CHURCH,46,73,,,,0,119,70.00%,170,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
25 25 MOUNT REGALE UNITED CHURCH,59,34,,,,0,93,56.71%,164,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
26 26 MOUNT REGALE UNITED CHURCH,69,42,,,,1,112,68.71%,163,ST. MARY SOUTH EASTERN (20),ST. MARY SOUTH EASTERN (20),
27 27 MT.OLIVE LIGHT HOUSE REDEEM  CHURCH OF GO,32,49,,,,0,81,60.45%,134,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
28 28 LUNA SEVENTH DAY BAPTIST CHURCH,75,93,,,,3,171,57.00%,300,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
29 29 LUNA SEVENTH DAY BAPTIST CHURCH,66,43,,,,0,109,54.23%,201,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
30 30 PROVIDENCE UNITED CHURCH,69,113,,,,1,183,48.28%,379,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
31 31 PROVIDENCE UNITED CHURCH,42,111,,,,1,154,54.23%,284,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
32 32 SCOTTS HALL PRIMARY SCHOOL,74,134,,,,0,208,60.29%,345,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
33 33 MT.OLIVE LIGHT HOUSE REDEEM  CHURCH OF GO,26,73,,,,0,99,54.70%,181,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
34 34 ARTHUR THOMPSON'S PREMISES,18,66,,,,2,86,68.80%,125,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
35 35 LEINSTER GOSPEL CHAPEL,53,44,,,,2,99,63.06%,157,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
36 36 ROCK RIVER ALL AGE SCHOOL,62,88,,,,0,150,69.12%,217,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
37 37 SCOTTS HALL PRIMARY SCHOOL,72,84,,,,4,160,62.99%,254,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
38 38 SCOTTS HALL PRIMARY SCHOOL,42,92,,,,0,134,61.75%,217,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
39 39 CASTLETON UNITED CHURCH,35,92,,,,2,129,50.19%,257,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
40 40 CASTLETON UNITED CHURCH,91,130,,,,5,226,53.05%,426,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
41 41 DEVON PEN ALL AGE SCHOOL,42,47,,,,2,91,67.91%,134,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
42 42 STANLEY SHAW'S PREMISES,32,149,,,,1,182,56.00%,325,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
43 43 CASTLETON PRIMARY & JUNIOR HIGH,40,89,,,,1,130,60.47%,215,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
44 44 CAMBERWELL ALL AGE SCHOOL,20,54,,,,2,76,53.90%,141,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
45 45 CAMBERWELL ALL AGE SCHOOL,9,57,,,,0,66,50.77%,130,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
46 46 DEVON PEN ALL AGE SCHOOL,65,153,,,,0,218,56.48%,386,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
47 47 STANLEY SHAW'S PREMISES,3,22,,,,0,25,62.50%,40,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
48 48 BROADGATE COMMUNITY CENTRE,69,75,,,,0,144,71.64%,201,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
49 49 BROADGATE COMMUNITY CENTRE,111,92,,,,0,203,67.22%,302,ST. MARY SOUTH EASTERN (20),CASTLETON (2),
50 50 CENTRAL GOSPEL CHAPEL,63,66,,,,2,131,61.50%,213,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
51 51 CLONMEL PRIMARY & JUNIOR HIGH,65,42,,,,1,108,54.82%,197,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
52 52 BROMLEY ALL AGE SCHOOL,85,41,,,,0,126,65.63%,192,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
53 53 BROMLEY ALL AGE SCHOOL,147,110,,,,0,257,63.61%,404,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
54 54 CLONMEL PRIMARY & JUNIOR HIGH,70,47,,,,1,118,58.42%,202,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
55 55 CLONMEL PRIMARY & JUNIOR HIGH,79,55,,,,1,135,63.08%,214,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
56 56 CENTRAL GOSPEL CHAPEL,138,111,,,,1,250,71.23%,351,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
57 57 CROMWELLAND BASIC SCHOOL,98,67,,,,1,166,61.03%,272,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
58 58 BETHEL UNITED CHURCH,116,58,,,,0,174,55.77%,312,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
59 59 OLIVIERE KINDERGARTEN SCHOOL,112,82,,,,3,197,57.43%,343,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
60 60 BELFIELD ALL AGE SCHOOL,101,76,,,,0,177,57.47%,308,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
61 61 BELFIELD LINE BASIC SCHOOL,38,54,,,,0,92,51.40%,179,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
62 62 BELFIELD LINE BASIC SCHOOL,29,49,,,,0,78,55.71%,140,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
63 63 BROMLEY ALL AGE SCHOOL,37,90,,,,0,127,65.80%,193,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
64 64 BELFIELD INFANT SCHOOL,89,96,,,,0,185,63.14%,293,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
65 65A BELFIELD HEALTH CENTRE,86,70,,,,2,158,65.02%,243,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
65 65B BELFIELD HEALTH CENTRE,81,81,,,,0,162,66.67%,243,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
66 66 BELFIELD HEALTH CENTRE,80,41,,,,2,123,66.13%,186,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
67 67 ROSE MORGAN'S PREMISES,30,18,,,,2,50,63.29%,79,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
68 68 ST. MARY RECREATIONAL CENTRE (GRAYS INN),36,24,,,,1,61,61.62%,99,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
69 69 ST. MARY RECREATIONAL CENTRE (GRAYS INN),70,32,,,,0,102,65.81%,155,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
70 70 ST. MARY RECREATIONAL CENTRE (GRAYS INN),47,57,,,,0,104,60.12%,173,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
71 71 ROSEMOUNT CHURCH OF GOD IN JAMAICA,64,33,,,,0,97,63.82%,152,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
72 72 CAMBERWELL ALL AGE SCHOOL,10,60,,,,0,70,61.40%,114,ST. MARY SOUTH EASTERN (20),BELFIELD (3),
73 73 PLEASANT HILL EARLY CHILDHOOD INSTITUTION,31,66,,,,0,97,72.39%,134,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
74 74 LITTLE LAMB BASIC SCHOOL,91,115,,,,3,209,60.76%,344,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
75 75 BAXTERS MOUNTAIN ALL AGE,25,63,,,,0,88,67.18%,131,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
76 76 CECIL FOSTER'S PREMISES,156,72,,,,2,230,67.06%,343,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
77 77 LONG ROAD ALL AGE SCHOOL,64,59,,,,3,126,53.85%,234,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
78 78 LONG ROAD ALL AGE SCHOOL,51,45,,,,0,96,54.55%,176,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
79 79 CECIL FOSTER'S PREMISES,41,24,,,,0,65,59.63%,109,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
80 80 CHURCH OF GOD IN JAMAICA JUNO PEN,72,74,,,,1,147,60.25%,244,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
81 81 CHURCH OF GOD IN JAMAICA JUNO PEN,93,92,,,,0,185,64.46%,287,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
82 82 CHURCH OF GOD IN JAMAICA MANSE,93,92,,,,0,185,59.29%,312,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
83 83 CHURCH OF GOD IN JAMAICA MANSE,75,31,,,,2,108,67.50%,160,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
84 84 DOVER BASIC SCHOOL,103,133,,,,2,238,62.80%,379,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
85 85 DOVER BASIC SCHOOL,60,127,,,,0,187,58.07%,322,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
86 86 EPSOM ALL AGE SCHOOL,66,97,,,,1,164,63.57%,258,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
87 87 EPSOM ALL AGE SCHOOL,49,69,,,,0,118,61.14%,193,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
88 88 ANNOTTO BAY HIGH SCHOOL,131,137,,,,2,270,63.23%,427,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
89 89 ANNOTTO BAY HIGH SCHOOL,100,100,,,,1,201,59.12%,340,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
90 90 ANNOTTO BAY HIGH SCHOOL,78,88,,,,0,166,59.71%,278,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
91 91 ENFIELD PRIMARY & JUNIOR HIGH SCHOOL,146,77,,,,2,225,71.20%,316,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
92 92 FORT GEORGE COMMUNITY CENTRE,128,143,,,,1,272,63.26%,430,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
93 93 ANNOTTO BAY HEALTH CENTRE,97,109,,,,4,210,66.25%,317,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
94 94 ANNOTTO BAY HEALTH CENTRE,81,78,,,,0,159,61.87%,257,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
95 95A ANNOTTO BAY ALL AGE SCHOOL,69,86,,,,1,156,69.64%,224,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
95 95B ANNOTTO BAY ALL AGE SCHOOL,63,87,,,,0,150,66.67%,225,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
96 96 ANNOTTO BAY ALL AGE SCHOOL,44,82,,,,0,126,69.61%,181,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
97 97A ANNOTTO BAY ALL AGE SCHOOL,53,99,,,,1,153,66.52%,230,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
97 97B ANNOTTO BAY ALL AGE SCHOOL,50,110,,,,1,161,70.00%,230,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
98 98 ANNOTTO BAY ALL AGE SCHOOL,79,131,,,,1,211,63.55%,332,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
99 99 ANNOTTO BAY ALL AGE SCHOOL,51,57,,,,1,109,62.64%,174,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
100 100 ST. THERESA CATHOLIC CHURCH,99,68,,,,3,170,63.20%,269,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
101 101 ANNOTTO BAY ALL AGE SCHOOL,115,57,,,,1,173,65.04%,266,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
102 102A ANNOTTO BAY ANGLICAN CHURCH,74,51,,,,0,125,55.07%,227,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
102 102B ANNOTTO BAY ANGLICAN CHURCH,74,47,,,,0,121,53.07%,228,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
103 103 ANNOTTO BAY ANGLICAN CHURCH,100,43,,,,0,143,54.37%,263,ST. MARY SOUTH EASTERN (20),ANNOTTO BAY (4),
104 104 ANNOTTO BAY ANGLICAN CHURCH,115,116,,,,3,234,61.74%,379,ST. MARY SOUTH EASTERN (20),,
